no	item	offset_hex	actual_bytes	padded_bytes	padding_bytes	actual_end_hex	padded_end_hex	within_image	nonoverlap	offset_1k_aligned	padded_16_aligned	padding_zero	payload_matches_extract
1	sys_config.fex	0x5C00	19640	19648	8	0xA8B8	0xA8C0	PASS	PASS	PASS	PASS	PASS	PASS
2	config.fex	0xAC00	26624	26624	0	0x11400	0x11400	PASS	PASS	PASS	PASS	PASS	PASS
3	split_xxxx.fex	0x11400	512	512	0	0x11600	0x11600	PASS	PASS	PASS	PASS	PASS	PASS
4	sys_partition.fex	0x11800	3673	3680	7	0x12659	0x12660	PASS	PASS	PASS	PASS	PASS	PASS
5	sunxi.fex	0x12800	66	80	14	0x12842	0x12850	PASS	PASS	PASS	PASS	PASS	PASS
6	boot0_nand.fex	0x12C00	45056	45056	0	0x1DC00	0x1DC00	PASS	PASS	PASS	PASS	PASS	PASS
7	u-boot.fex	0x1DC00	638976	638976	0	0xB9C00	0xB9C00	PASS	PASS	PASS	PASS	PASS	PASS
8	toc1.fex	0xB9C00	83	96	13	0xB9C53	0xB9C60	PASS	PASS	PASS	PASS	PASS	PASS
9	toc0.fex	0xBA000	83	96	13	0xBA053	0xBA060	PASS	PASS	PASS	PASS	PASS	PASS
10	fes1.fex	0xBA400	20640	20640	0	0xBF4A0	0xBF4A0	PASS	PASS	PASS	PASS	PASS	PASS
11	boot_package.fex	0xBF800	655360	655360	0	0x15F800	0x15F800	PASS	PASS	PASS	PASS	PASS	PASS
12	usbtool.fex	0x15F800	154112	154112	0	0x185200	0x185200	PASS	PASS	PASS	PASS	PASS	PASS
13	aultools.fex	0x185400	165006	165008	2	0x1AD88E	0x1AD890	PASS	PASS	PASS	PASS	PASS	PASS
14	aultls32.fex	0x1ADC00	150834	150848	14	0x1D2932	0x1D2940	PASS	PASS	PASS	PASS	PASS	PASS
15	sunxi_mbr.fex	0x1D2C00	65536	65536	0	0x1E2C00	0x1E2C00	PASS	PASS	PASS	PASS	PASS	PASS
16	dlinfo.fex	0x1E2C00	16384	16384	0	0x1E6C00	0x1E6C00	PASS	PASS	PASS	PASS	PASS	PASS
17	nsh.fex	0x1E6C00	7626064	7626064	0	0x92C950	0x92C950	PASS	PASS	PASS	PASS	PASS	PASS
18	Vnsh.fex	0x92CC00	4	16	12	0x92CC04	0x92CC10	PASS	PASS	PASS	PASS	PASS	PASS
19	res.fex	0x92D000	8851456	8851456	0	0x119E000	0x119E000	PASS	PASS	PASS	PASS	PASS	PASS
20	Vres.fex	0x119E000	4	16	12	0x119E004	0x119E010	PASS	PASS	PASS	PASS	PASS	PASS
21	usrdata.fex	0x119E400	53366784	53366784	0	0x4483400	0x4483400	PASS	PASS	PASS	PASS	PASS	PASS
22	Vusrdata.fex	0x4483400	4	16	12	0x4483404	0x4483410	PASS	PASS	PASS	PASS	PASS	PASS
