item	status	reference_bytes	candidate_bytes	reference_sha256	candidate_sha256
sys_config.fex	SAME	19640	19640	224605a671bd6a780c73f2dbd0723f4e7ab58b62f1f0f163cab8b7ac96064ad6	224605a671bd6a780c73f2dbd0723f4e7ab58b62f1f0f163cab8b7ac96064ad6
config.fex	SAME	26624	26624	d9fb5260eb825bba12c1b2ad62820e0c953b2c2edb2f7f9d5d1664ac72914af9	d9fb5260eb825bba12c1b2ad62820e0c953b2c2edb2f7f9d5d1664ac72914af9
split_xxxx.fex	SAME	512	512	14d309c67afd6c7a6ce3c580c401162266998385dcf4b06d48dd2d5169ad0eb1	14d309c67afd6c7a6ce3c580c401162266998385dcf4b06d48dd2d5169ad0eb1
sys_partition.fex	SAME	3673	3673	fb5eaa5c485f6f24740db1ef49e142d8d083a9cd4f24b089241498d662d0bd65	fb5eaa5c485f6f24740db1ef49e142d8d083a9cd4f24b089241498d662d0bd65
sunxi.fex	SAME	66	66	a5e03ca721cc92ac0aae35d799de914679c9d7e54ba876ed91c7a909223fe6c8	a5e03ca721cc92ac0aae35d799de914679c9d7e54ba876ed91c7a909223fe6c8
boot0_nand.fex	SAME	45056	45056	20cea5ee8e0cec1767b8c8c5d69c84f149e2a96069ca171620b300162b6facbc	20cea5ee8e0cec1767b8c8c5d69c84f149e2a96069ca171620b300162b6facbc
u-boot.fex	SAME	638976	638976	e0f3c08e0eff9d6c6745f02235e6d0c0774da6b995bf588cc8259317e97dd719	e0f3c08e0eff9d6c6745f02235e6d0c0774da6b995bf588cc8259317e97dd719
toc1.fex	SAME	83	83	3dca93feef4edfb97d4f075cd718bfc8b15a6413a7913fa2f8d0b9c2339da802	3dca93feef4edfb97d4f075cd718bfc8b15a6413a7913fa2f8d0b9c2339da802
toc0.fex	SAME	83	83	625ac3cfac551decd0c9cafc8ba65e987acd3c4120f3a137e83066f1d46dc8b4	625ac3cfac551decd0c9cafc8ba65e987acd3c4120f3a137e83066f1d46dc8b4
fes1.fex	SAME	20640	20640	ba49d6d9a46da96b6ab57214ef8e1bad3c2d71dfdcd9e783b25819b16747b35c	ba49d6d9a46da96b6ab57214ef8e1bad3c2d71dfdcd9e783b25819b16747b35c
boot_package.fex	SAME	655360	655360	d2cf25f2c77b5ab876b6befdb9fb70c943538172a71345025f6555d4bdf28fe4	d2cf25f2c77b5ab876b6befdb9fb70c943538172a71345025f6555d4bdf28fe4
usbtool.fex	SAME	154112	154112	06ca914fd4b23c368b82dba7d9bc72faf103cde3ea03852bfc09e2b8181ca1a7	06ca914fd4b23c368b82dba7d9bc72faf103cde3ea03852bfc09e2b8181ca1a7
aultools.fex	SAME	165006	165006	7b4dc95dc3d247383c9dcfca88297a9345fef33d41d47f0cc17e73c99fca2c4b	7b4dc95dc3d247383c9dcfca88297a9345fef33d41d47f0cc17e73c99fca2c4b
aultls32.fex	SAME	150834	150834	271b49fc37096cebb0baca54007f013d7fdf851f72007ef5bad47af41f9a052f	271b49fc37096cebb0baca54007f013d7fdf851f72007ef5bad47af41f9a052f
sunxi_mbr.fex	SAME	65536	65536	8d68057943f53408f5211dbe754db8ec88ec26523e2bfc5aa6c2b03857f3f69d	8d68057943f53408f5211dbe754db8ec88ec26523e2bfc5aa6c2b03857f3f69d
dlinfo.fex	SAME	16384	16384	de435a4f7205100051af9169ca3202d938d3347339b47be902ceebba990eda84	de435a4f7205100051af9169ca3202d938d3347339b47be902ceebba990eda84
nsh.fex	DIFF	4639888	7626064	b249b331f1fff3ba7ae9dec85c386af8bd620ca3bd475a933148ce8a204f885d	80b5f1d92f5925f6f081641d36d072a012c771681572b412668efad1c225ae02
Vnsh.fex	DIFF	4	4	21fadaf1329cd772305501f614ae7b50e28d34b435634e1a36923bb465b68369	0f6bdce80e9e1ff85beb518488c623b3c2bb9820ece1478027393224f406f2fa
res.fex	SAME	8851456	8851456	59721e6d56938332999e4f7ccc36764ac408e9d734e27fb415a92ce9680a0c06	59721e6d56938332999e4f7ccc36764ac408e9d734e27fb415a92ce9680a0c06
Vres.fex	SAME	4	4	70d1de94a016538c74638f06898061587ff098f0239b9804afadbb814d2412e9	70d1de94a016538c74638f06898061587ff098f0239b9804afadbb814d2412e9
usrdata.fex	SAME	53366784	53366784	4c6012a1ed55a975bf468468b42f574dbd8b96b7cf51f8c12e14abc385aaa89f	4c6012a1ed55a975bf468468b42f574dbd8b96b7cf51f8c12e14abc385aaa89f
Vusrdata.fex	SAME	4	4	be421e597058aefafe9dc93c390e12524e30fa7b3485c0823426e7cdfe105d23	be421e597058aefafe9dc93c390e12524e30fa7b3485c0823426e7cdfe105d23
