setting	status
CONFIG_BASE_DEFCONFIG="../vendor/allwinnertech/boards/r528/r528s3-gemini-s1/configs/nsh_minidisplay"	PASS
CONFIG_FEATURE_FRAMEWORK=y	PASS
CONFIG_QUICKAPP=y	PASS
CONFIG_QUICKAPP_VAPP=y	PASS
# CONFIG_LUNCHER_MINI_APP is not set	PASS
CONFIG_EXAMPLES_AI_AGENT_VELA=y	PASS
CONFIG_FEATURE_SYSTEM_VELACLAW=y	PASS
CONFIG_LV_NUTTX_LCD_CUSTOM_BUFFER=y	PASS
CONFIG_LV_NUTTX_LCD_BUFFER_SIZE=120	PASS
CONFIG_SYSTEM_FLATBUFFERS=y	PASS
CONFIG_MATH_GEMMLOWP=y	PASS
CONFIG_MATH_KISSFFT=y	PASS
CONFIG_MATH_RUY=y	PASS
CONFIG_TFLITEMICRO=y	PASS
CONFIG_AI_AGENT_LOCAL_TOOL_ROUTER=y	PASS
CONFIG_LUNCHER_MINI_APP=y	ABSENT
