gate	status
model_bytes_52008	PASS
model_sha256_locked	PASS
model_tfl3_identifier	PASS
exact_model_once_in_vela_bin	PASS
elf_model_symbol_size_52008	PASS
resolver_capacity_2	PASS
fully_connected_int8_registered	PASS
softmax_int8_registered	PASS
tensor_arena_32k	PASS
tensor_arena_used	PASS
elf_tensor_arena_symbol_size_32768	PASS
embedded_model_bytes	52008
embedded_model_sha256	8d9fa3a06fd9f0aef417cf92c72fad21a90efe74961077792f82e72ab6eb85d8
vela_exact_model_occurrences	1
elf_model_symbol_sizes	52008
elf_tensor_arena_symbol_sizes	32768
evidence_boundary	STATIC_ONLY_NOT_DEVICE_LATENCY_OR_RUNTIME_PEAK
